פרטי ניירות ערך - מניות,,,,,,,,,,,,,,,,,,,,,,
נכון ל- 19/05/2024,,,,,,,,,,,,,,,,,,,,,,
מס' ני''ע,ISIN,שם (עברית),שם (אנגלית),סימול (עברית),סימול (אנגלית),"סוג ני""ע (עברית)","סוג ני""ע (אנגלית)",ענף על חברה (עברית),ענף על חברה (אנגלית),ענף חברה (עברית),ענף חברה (אנגלית),תת ענף חברה (עברית),תת ענף חברה (אנגלית),נכלל במדדים (עברית),נכלל במדדים (אנגלית),מספר תאגיד,מספר מנפיק,שם חברה מנפיקה (עברית),שם חברה מנפיקה (אנגלית),מקום התאגדות (עברית),מקום התאגדות (אנגלית),Email
1105139,IL0011051393,באבלס,BUBBLES,בבלס,BBLS,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,רשתות שיווק,Retail,,,513952499,1465,באבלס,BUBBLES,ישראל,Israel,meital@bbls-group.com
1158823,IL0010849045,באטמ,BATM,באטמ,BVC,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,השקעות בהייטק,Investments In High-Tech,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א טק - עילית ,ת''א-רימון ,ת''א-דואליות","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA Tech - Elite ,TA-Rimon ,TA-Dual listing",520042813,2135,באטמ,BATM,ישראל,Israel,sigalit@batm.com
1179043,IL0011790438,באפ טכנו',BUFF TECH',באפט,BUFT,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,,,515811198,1933,באפ טכנולוגיות,BUFF TECHNOLOG,ישראל,Israel,info@buff.game
1176635,IL0011766354,בול מסחר,BULL TRADING,בול,BULL,מניה רגילה,Ordinary Share,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,,,510992183,1925,בול מסחר,BULL TRADING,ישראל,Israel,office@bull-trade.co.il
1180595,IL0011805954,בוליגו,BULIGO,בלגו,BLGO,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-מניב חו''ל","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Investment Properties Abroad",514766195,1980,בוליגו,BULIGO,ישראל,Israel,info@buligocapital.com
485011,IL0004850116,בונוס ביוגרופ,BONUS BIOGROUP,בונס,BONS,מניה רגילה,Ordinary Share,הייטק,High-Tech,ביומד,Biomed,ביוטכנולוגיה,Biotechnology,,,520039777,485,בונוס ביוגרופ,BONUS BIOGROUP,ישראל,Israel,info@bonus-bio.com
531012,IL0005310128,בוני תיכון,BONEI TICHON,בנתכ,BOTI,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון ,ת''א-פמילי ,ת''א-בנייה","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Rimon ,TA-Family ,TA-Construction",520040304,531,בוני תיכון,BONEI TICHON,ישראל,Israel,doron@boh.co.il
1198910,IL0011989105,בזא,ASHDOD REFINERY,בזא,ARF,מניה רגילה,Ordinary Share,ריאלי,Real,אנרגיה וחיפושי נפט וגז,Energy And Oil & Gas Exploration,אנרגיה,Energy,"ת''א-SME60 ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א-תשתיות אנרגיה","TA-SME60 ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA-Energy Utilities",513775163,1361,בית זיקוק אשדוד,ASHDOD REFINERY,ישראל,Israel,info@arf.co.il
2590248,IL0025902482,בזן,BAZAN,בזן,ORL,מניה רגילה,Ordinary Share,ריאלי,Real,אנרגיה וחיפושי נפט וגז,Energy And Oil & Gas Exploration,אנרגיה,Energy,"ת''א-90 ,ת''א-125 ,מדד ת''א-מעלה ,מדד תל-דיב ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א סקטור-באלאנס ,ת''א-תשתיות אנרגיה","TA-90 ,TA-125 ,TA-Maala Index ,Tel-Div Index ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA Sector-Balance ,TA-Energy Utilities",520036658,259,בתי זיקוק,REFINERIES,ישראל,Israel,info@bazan.co.il
230011,IL0002300114,בזק,BEZEQ,בזק,BEZQ,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,תקשורת ומדיה,Communications & Media,"ת''א-35 ,ת''א-125 ,מדד ת''א-מעלה ,מדד תל-דיב ,ת''א All-Share ,ת''א תקשורת וטכנולוגיות מידע ,ת''א-רימון ,ת''א סקטור-באלאנס ,ת''א-125 אקלים נקי","TA-35 ,TA-125 ,TA-Maala Index ,Tel-Div Index ,TA-AllShare ,TA-Communication & InformationTechnology ,TA-Rimon ,TA Sector-Balance ,TA-125 Fossil Free",520031931,230,בזק,BEZEQ,ישראל,Israel,michal.kuperstein@bezeq.co.il
1107663,IL0011076630,בי קומיונקיישנס,B COMMUNICATION,בקומ,BCOM,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,תקשורת ומדיה,Communications & Media,"ת''א-90 ,ת''א-125 ,ת''א All-Share ,ת''א תקשורת וטכנולוגיות מידע ,ת''א-רימון ,ת''א-SME150 ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-AllShare ,TA-Communication & InformationTechnology ,TA-Rimon ,TA-SME150 ,TA-125 Fossil Free",512832742,1422,בי קומיונקיישנס,B COMMUNICATION,ישראל,Israel,tomer@bcomm.co.il
1097260,IL0010972607,ביג,BIG,ביג,BIG,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,"ת''א-35 ,ת''א-125 ,ת''א-נדל''ן ,ת''א All-Share ,ת''א-רימון ,ת''א סקטור-באלאנס ,ת''א-פמילי ,ת''א-מניב ישראל ,ת''א-125 אקלים נקי","TA-35 ,TA-125 ,TA-RealEstate ,TA-AllShare ,TA-Rimon ,TA Sector-Balance ,TA-Family ,TA-Investment Properties in Israel ,TA-125 Fossil Free",513623314,1327,ביג,BIG,ישראל,Israel,assaf@bigcenters.co.il
1172295,IL0011722951,ביג-טק 50 יהש,BIG-TECH 50 PU,ביגט,BIGT,יחידת השתתפות,Participating unit,הייטק,High-Tech,טכנולוגיה,Technology,השקעות בהייטק,Investments In High-Tech,,,540295417,1832,ביג-טק 50 מו''פ,BIG TECH 50 R&D,ישראל,Israel,info@bigtech50.com
1082346,IL0010823461,ביו דבש,BEEIO HONEY,בדבש,BHNY,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,פודטק,Foodtech,,,520042870,2093,ביו דבש,BEEIO HONEY,ישראל,Israel,office@bee-io.com
1096049,IL0010960495,ביו ויו,BIO VIEW,בויו,BIOV,מניה רגילה,Ordinary Share,הייטק,High-Tech,ביומד,Biomed,מכשור רפואי,Medical Devices,,,512671371,1305,ביו ויו,BIO VIEW,ישראל,Israel,dani@bioview.com
1095223,IL0010952237,ביולייט,BIOLIGHT,בולט,BOLT,מניה רגילה,Ordinary Share,הייטק,High-Tech,ביומד,Biomed,השקעות במדעי החיים,Investments In Life Science,,,513680793,1293,ביולייט,BIOLIGHT,ישראל,Israel,karin@bio-light.co.il
1101518,IL0011015182,ביוליין,BIOLINE RX,ביול,BLRX,מניה רגילה,Ordinary Share,הייטק,High-Tech,ביומד,Biomed,ביוטכנולוגיה,Biotechnology,,,513398750,1394,ביוליין אר אקס,BIOLINE,ישראל,Israel,info@biolinerx.com
1173905,IL0011739054,ביומיט פוד  יהש,BIOMEAT FOOD PU,בימט,BIMT,יחידת השתתפות,Participating unit,הייטק,High-Tech,טכנולוגיה,Technology,פודטק,Foodtech,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א טק - עילית","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA Tech - Elite",540300860,1855,ביו מיט פודטק,BIO MEAT FOOD,ישראל,Israel,liat_bidas@hotmail.com
1175561,IL0011755613,ביונ תלת מימד,BEYON 3D,ביונ,BYON,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,רובוטיקה ותלת מימד,Robotics & 3d,,,514669506,1859,ביונ תלת מימד,BEYON3D,ישראל,Israel,info@beyon3d.com
593038,IL0005930388,בינלאומי,FIBI BANK,בנלמ,FIBI,מניה רגילה,Ordinary Share,פיננסי,Finance,בנקים,Banks,בנקים,Banks,"ת''א-35 ,ת''א-125 ,מדד ת''א-פיננסים ,ת''א בנקים-5 ,מדד תל-דיב ,ת''א All-Share ,ת''א-רימון ,ת''א סקטור-באלאנס ,ת''א-125 אקלים נקי","TA-35 ,TA-125 ,TA-Finance Index ,TA-Banks5 ,Tel-Div Index ,TA-AllShare ,TA-Rimon ,TA Sector-Balance ,TA-125 Fossil Free",520029083,593,בינלאומי,FIBI BANK,ישראל,Israel,mazkir@fibimail.co.il
530014,IL0005300145,בירמן,BIRMAN,ברמן,BIRM,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,"עץ, נייר ודפוס",Wood & Paper,"ת''א-צמיחה ,ת''א All-Share ,ת''א-תעשייה","TA-Growth ,TA-AllShare ,TA-Industrials",520040320,530,בירמן,BIRMAN,ישראל,Israel,haim@birman.co.il
1183656,IL0011836561,בית בכפר,BAIT BAKFAR,בכפר,BKFR,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון ,ת''א-מניב ישראל","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Rimon ,TA-Investment Properties in Israel",511605719,1802,בית בכפר,BAIT BAKFAR,ישראל,Israel,ashers@firon.co.il
235010,IL0002350101,בית הזהב,GOLDEN HOUSE,בזהב,GOHO,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון ,ת''א-מניב ישראל","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Rimon ,TA-Investment Properties in Israel",520034562,235,בית הזהב,GOLDEN HOUSE,ישראל,Israel,sec@golden-house.co.il
1185362,IL0011853624,בית וגג,BAIT VEGAG GL,ביגג,BVGG,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון ,ת''א-בנייה","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Rimon ,TA-Construction",516501640,2371,בית וגג,BAIT VEGAG,ישראל,Israel,tal@baitvegag.co.il
1081561,IL0010815616,בית שמש,BET SHEMESH,מנבש,BSEN,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,מתכת ומוצרי בניה,Metal & Building Products,"ת''א-SME60 ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א-תעשייה","TA-SME60 ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA-Industrials",520043480,1054,בית שמש,BET SHEMESH,ישראל,Israel,dov.feldman@bsel.co.il
1172618,IL0011726184,בכורי שדה,BIKUREY HASHDE,בכרי,BKRY,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,מסחר,Commerce,"ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון","TA-Growth ,TA-AllShare ,TA-Rimon",512402538,1790,בכורי שדה אחז',BIKUREY HASA HO,ישראל,Israel,ellap@bikurey.co.il
1170513,IL0011705139,בלייד ריינג'ר,BLADE RANGER,בלרן,BLRN,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,רובוטיקה ותלת מימד,Robotics & 3d,,,515350932,1827,בלייד ריינג'ר,BLADERANGER,ישראל,Israel,assaf@bladeranger.com
424010,IL0004240102,בליץ,BLITZ,בליץ,BLTZ,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,אלקטרוניקה ואופטיקה,Electronics And Optics,,,520038779,424,בליץ,BLITZ,ישראל,Israel,info@blitzmotors.co.il
1172097,IL0011720971,בלנדר,BLENDER,בלנד,BLND,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,,,515005502,1846,בלנדר טכנו,BLENDER TECH,ישראל,Israel,aanava@barlaw.co.il
1121607,NL0009690619,בראק אן וי-ש,BRACK CAP NV-M,ברקא-ש,BCNV-M,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,,,,1560,בראק אן וי-ש,BRACK N.V-M,הולנד,Holland,g.wildbaum@bcp-nv.com
1100718,IL0011007189,בריינסוויי,BRAINSWAY,ברינ,BWAY,מניה רגילה,Ordinary Share,הייטק,High-Tech,ביומד,Biomed,מכשור רפואי,Medical Devices,"מדד ת''א-ביומד ,ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,ת''א טק - עילית ,ת''א-רימון ,ת''א-דואליות","TA-Biomed Index ,TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA Tech - Elite ,TA-Rimon ,TA-Dual listing",513890764,1386,בריינסוויי,BRAINSWAY,ישראל,Israel,hadarl@brainsway.com
399014,IL0003990145,בריל,BRILL,בריל,BRIL,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,רשתות שיווק,Retail,,,520038647,399,בריל,BRILL,ישראל,Israel,evyatar@sbn-brands.co.il
1094283,IL0010942832,ברימאג,BRIMAG,ברמג,BRMG,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,מסחר,Commerce,"ת''א-צמיחה ,ת''א All-Share","TA-Growth ,TA-AllShare",511786378,1269,ברימאג דיגיטל,BRIMAG DIGITAL,ישראל,Israel,shimond@brimag.co.il
1094515,IL0010945157,ברם תעשיות,BRAM INDUS,ברם,BRAM,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,"כימיה, גומי ופלסטיק","Chemical, Rubber & Plastic",,,513579482,1274,ברם תעשיות,BRAM INDUSTRIES,ישראל,Israel,info@hai-plastic.co.il
286013,IL0002860133,ברן,BARAN,ברן,BRAN,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,"ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון","TA-Growth ,TA-AllShare ,TA-Rimon",520037250,286,ברן,BARAN,ישראל,Israel,noam@n-r-law.co.il
536011,IL0005360115,ברנד,BRAND,ברנד,BRND,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,מתכת ומוצרי בניה,Metal & Building Products,"ת''א-צמיחה ,ת''א All-Share ,ת''א-תעשייה","TA-Growth ,TA-AllShare ,TA-Industrials",520040346,536,ברנד,BRAND,ישראל,Israel,barak_g@brand.org.il
1104363,IL0011043630,ברק בית השקעות,BARAK INVEST,ברקב,BARI,מניה רגילה,Ordinary Share,פיננסי,Finance,שרותים פיננסיים,Financial Services,שרותים פיננסיים,Financial Services,,,513673970,1344,ברק בית השקעות,BARAK INVEST,ישראל,Israel,shay@barak-invest.co.il
1178276,IL0011782765,ברקת,BAREKET,ברקת,BRKT,מניה רגילה,Ordinary Share,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,,,515187326,1940,ברקת קפיטל,BAREKET CAPITAL,ישראל,Israel,inbal@bareketc.com
1104744,IL0011047441,גאון אחזקות-ש,GAON-M,גאון-ש,GAON-M,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,מתכת ומוצרי בניה,Metal & Building Products,,,512623950,1452,גאון אחזקות-ש,B.GAON-M,ישראל,Israel,martine@gaon.com
454017,IL0004540170,גאון קבוצה,GAON GROUP,גנקב,GAGR,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,מתכת ומוצרי בניה,Metal & Building Products,"ת''א-צמיחה ,ת''א All-Share ,ת''א-תעשייה","TA-Growth ,TA-AllShare ,TA-Industrials",520025016,454,גאון קבוצה,GAON GROUP,ישראל,Israel,info@gaon.com
759019,IL0007590198,גב ים,GAV YAM,גבים,GVYM,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,,,520001736,759,גב ים,GAV YAM,ישראל,Israel,info@gav-yam.co.il
506022,IL0005060228,גבעות     יהש,GIVOT     PU,גבעות,GIVO,יחידת השתתפות,Participating unit,ריאלי,Real,אנרגיה וחיפושי נפט וגז,Energy And Oil & Gas Exploration,חיפושי נפט וגז,Oil & Gas Exploration,,,550013189,506,גבעות יהש,GIVOT,ישראל,Israel,givot@givot.co.il
1176726,IL0011767261,גוטו,GOTO,גוטו,GOTO,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,,,516286887,1939,גוטו,GOTO,ישראל,Israel,info.il@gotoglobal.com
149013,IL0001490130,גולד,GOLD,גולד,GOLD,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,"ת''א-צמיחה ,ת''א All-Share","TA-Growth ,TA-AllShare",520034349,149,גולד,GOLD,ישראל,Israel,conterm@conterm.co.il
1091933,IL0010919335,גולן תעשיות,GOLAN INDUS,גלתע,GRIN,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,"כימיה, גומי ופלסטיק","Chemical, Rubber & Plastic","ת''א-צמיחה ,ת''א All-Share ,ת''א-תעשייה","TA-Growth ,TA-AllShare ,TA-Industrials",513029975,1226,גולן תעשיות,GOLAN INDUS,ישראל,Israel,golan@golan-plastic.com
1096148,IL0010961485,גולף,GOLF,גולף,GOLF,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,רשתות שיווק,Retail,"ת''א-צמיחה ,ת''א All-Share ,ת''א-רשתות שיווק","TA-Growth ,TA-AllShare ,TA-Retail",510289564,1310,גולף,GOLF,ישראל,Israel,rami@golfco.co.il
1156280,IL0011562803,ג'י וואן,G 1 SECU,גואנ,GOSS,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,"מדד ת''א-מעלה ,ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון","TA-Maala Index ,TA-Growth ,TA-AllShare ,TA-Rimon",510095987,1765,ג'י וואן,G 1 SECU. SOLUT,ישראל,Israel,sharon.bolandi@g1-group.com
126011,IL0001260111,ג'י סיטי,G CITY,גיסי,GCT,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"ת''א-90 ,ת''א-125 ,ת''א-נדל''ן ,מדד ת''א-מעלה ,מדד תל-דיב ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א סקטור-באלאנס ,ת''א-פמילי ,ת''א-מניב חו''ל ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-RealEstate ,TA-Maala Index ,Tel-Div Index ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA Sector-Balance ,TA-Family ,TA-Investment Properties Abroad ,TA-125 Fossil Free",520033234,126,ג'י סיטי,G CITY,ישראל,Israel,irgg@gazitgroup.com
1122688,IL0011226888,ג'י.אף.סי-ש,G.F.C-M,גפסי-ש,GFC-M,מניה רגילה,Ordinary Share,ריאלי,Real,השקעה ואחזקות,Investment & Holdings,חברות ללא פעילות ומעטפת,Inactive & Shell Companies,,,514403120,1568,ג'י.אף.סי גרין,G.F.C GREEN,ישראל,Israel,asher@zamir-cpa.co.il
1144781,IL0011447815,ג'י.פי גלובל-ש,G.P GLOBAL-M,גפגב-ש,GPGB-M,מניה רגילה,Ordinary Share,ריאלי,Real,אנרגיה וחיפושי נפט וגז,Energy And Oil & Gas Exploration,אנרגיה,Energy,,,512821216,1731,ג'י.פי. גלובל-ש,G.P. GLOBAL-M,ישראל,Israel,ronen@global-power.co.il
448019,IL0004480195,גיבוי אחזקות,GIBUI HOLDING,גיבו,GIBUI,מניה רגילה,Ordinary Share,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,,,520039314,448,גיבוי אחזקות,GIBUI HOLDINGS,ישראל,Israel,info@hosen-g.co.il
271015,IL0002710155,גיידליין,GUIDELINE,גייד,GUID,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,שרותי מידע,IT Services,,,520036997,271,גיידליין גרופ,GUIDELINE GROUP,ישראל,Israel,ilan@guideline.co.il
1082510,IL0010825102,גילת,GILAT,גילת,GILT,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,ציוד תקשורת,Communications Equipment,"ת''א-SME60 ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א תקשורת וטכנולוגיות מידע ,ת''א טק - עילית ,ת''א-רימון ,ת''א-SME150 ,ת''א-תעשייה ,ת''א-דואליות","TA-SME60 ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA-Communication & InformationTechnology ,TA Tech - Elite ,TA-Rimon ,TA-SME150 ,TA-Industrials ,TA-Dual listing",520038936,2030,גילת,GILAT,ישראל,Israel,doronke@gilat.com
1080597,IL0010805971,גילת טלקום,GILAT TELECOM,גלטל,GLTL,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,תקשורת ומדיה,Communications & Media,,,520041674,1006,גילת טלקום,GILAT TELECOM,ישראל,Israel,amib@gilat.net
744011,IL0007440113,גיקס,GIX,גיקס,GIX,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,,,520040262,744,גיקס אינטרנט,GIX INTERNET,ישראל,Israel,amihay@gix-internet.com
1176288,IL0011762882,גלאסבוקס,GLASSBOX,גבקס,GLBX,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א טק - עילית ,ת''א-רימון","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA Tech - Elite ,TA-Rimon",514525260,1918,גלאסבוקס,GLASSBOX,ישראל,Israel,itzhak.tambor@glassboxdigital.com
1119833,IL0011198335,גלוב יהש-ש,GLOBE PU-M,גלאנ-ש,GLEN-M,יחידת השתתפות,Participating unit,ריאלי,Real,אנרגיה וחיפושי נפט וגז,Energy And Oil & Gas Exploration,חיפושי נפט וגז,Oil & Gas Exploration,,,550235295,1548,גלוב אנרגיה-ש,GLOBE ENERGY-M,ישראל,Israel,contact@globe-er.com
1141316,IL0011413163,גלובל כנפיים,GLOBAL KNAFAIM,גלכנ,GKL,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,"ת''א-צמיחה ,ת''א All-Share","TA-Growth ,TA-AllShare",513342444,1559,גלובל כנפיים,GLOBAL KNAFAIM,ישראל,Israel,knafaim@knafaim.co.il
1147487,IL0011474876,גלוברנדס,GLOBRANDS,גלרס,GLRS,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,מסחר,Commerce,"ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון","TA-Growth ,TA-AllShare ,TA-Rimon",515809499,1741,גלוברנדס גרופ,GLOBRANDS GROUP,ישראל,Israel,office@globrands.co.il
1081983,IL0010819832,גלילאו טק,GLILEO TECH,גלטק,GLTC,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,,,520043001,1070,גלילאו טק,GALILEO TECH,ישראל,Israel,office@galileotech.io
1175868,IL0011758682,גמלא הראל,GAMLA HAREL,גמלא,GMLA,מניה רגילה,Ordinary Share,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,"מדד ת''א-פיננסים ,ת''א-צמיחה ,ת''א All-Share ,ת''א ביטוח-פלוס","TA-Finance Index ,TA-Growth ,TA-AllShare ,TA Insurance-Plus",513899674,1892,גמלא הראל,GAMLA HAREL,ישראל,Israel,office@gamla.co.il
532010,IL0005320101,גן שמואל,GAN SHMUEL,גנשמ,GSFI,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,מזון,Food,"ת''א-צמיחה ,ת''א All-Share ,ת''א-תעשייה","TA-Growth ,TA-AllShare ,TA-Industrials",520039934,532,גן שמואל,GAN SHMUEL,ישראל,Israel,shoshig@ganshmuel.com
1178862,IL0011788622,ג'נגו,JUNGO,גנגו,JNGO,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,,,514663335,1929,ג'נגו,JUNGO,ישראל,Israel,ir@jungo.com
1095892,IL0010958929,גניגר,GINEGAR,גנגר,GNGR,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,"כימיה, גומי ופלסטיק","Chemical, Rubber & Plastic","ת''א-צמיחה ,ת''א All-Share ,ת''א-תעשייה","TA-Growth ,TA-AllShare ,TA-Industrials",512416991,1301,גניגר,GINEGAR,ישראל,Israel,gpp@ginegar.co.il
1169689,IL0011696890,ג'נסל,GENCELL,גנסל,GNCL,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,קלינטק,Cleantech,"מדד ת''א-מעלה ,ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א טק - עילית ,ת''א-תשתיות אנרגיה ,ת''א-קלינטק","TA-Maala Index ,TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA Tech - Elite ,TA-Energy Utilities ,TA-Cleantech",514579887,1820,ג'נסל,GENCELL,ישראל,Israel,info@gencellenergy.com
1156926,IL0011569261,ג'נריישן קפיטל,GENERATION CAP,גנרש,GNRS,מניה רגילה,Ordinary Share,ריאלי,Real,השקעה ואחזקות,Investment & Holdings,השקעה ואחזקות,Investment & Holdings,"ת''א-SME60 ,מדד תל-דיב ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150","TA-SME60 ,Tel-Div Index ,TA-AllShare ,TA-Rimon ,TA-SME150",515846558,1769,ג'נריישן קפיטל,GENERATION CAPI,ישראל,Israel,generationir@generation.co.il
1118116,IL0011181166,גפן מגורים,GEFFEN R&R,גפנמ,GEFR,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-בנייה","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Construction",512781386,1532,גפן מגורים,GEFFEN R&R,ישראל,Israel,elad@geffenltd.co.il
